Date,AgeAdult,AgeMax,BatchMode,DNAFill,DenunciationCost,DifferentialCosts,DishonestPremium,DisplayPeriod,DumpStart,EraseNetwork,FriendshipValue,GeneCoding,GeneLength,GroupMinSize,HonoringCost,JoiningBonus,Judas,MaxFriends,MutationRate,NbCrossover,NbInteractions,NbTraitors,NumberOfGroups,PopulationSize,ReproGainsThreshold,ReproductionRate,ResultDir,Rounds,SacrificeHeredity,SampleSize,ScenarioName,SelectionPressure,Selectivity,StartFromFile,TimeLimit,Title,LastStep,Patriot,NonPatriot,Demand,SelfSacrifice,NbHeroes
190325182156,0,40,1,0,200,1,100,10,5000,0,5,Weighted,8,0,100,15,20,10,5,1,100,10,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,78,38,77,2,7
190325182715,0,40,1,0,0,1,100,10,5000,0,10,Weighted,8,0,100,20,50,10,5,1,100,10,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,3,1,0,0,2
190325183501,0,40,1,0,200,1,100,10,5000,0,0,Weighted,8,0,100,20,40,10,5,1,100,10,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,98,96,97,3,10
190325183757,0,40,1,0,200,1,100,10,5000,0,0,Weighted,8,0,100,5,50,10,5,1,100,10,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,5,0,65,0,3
190325174903,0,40,1,0,0,1,100,10,5000,0,15,Weighted,8,0,100,10,40,10,5,1,100,20,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,4,1,0,0,3
190325175012,0,40,1,0,100,1,100,10,5000,0,15,Weighted,8,0,100,20,0,10,5,1,100,20,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,30,34,24,2,7
190325175857,0,40,1,0,200,1,100,10,5000,0,20,Weighted,8,0,100,5,50,10,5,1,100,20,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,26,16,38,3,9
190325180544,0,40,1,0,0,1,100,10,5000,0,20,Weighted,8,0,100,0,10,10,5,1,100,20,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,2,1,0,0,2
190325180752,0,40,1,0,200,1,100,10,5000,0,0,Weighted,8,0,100,10,0,10,5,1,100,20,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,77,2,79,2,7
190325181455,0,40,1,0,100,1,100,10,5000,0,15,Weighted,8,0,100,20,0,10,5,1,100,20,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,30,35,26,3,9
190325181713,0,40,1,0,0,1,100,10,5000,0,20,Weighted,8,0,100,0,10,10,5,1,100,20,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,3,1,0,0,1
190325182514,0,40,1,0,0,1,100,10,5000,0,20,Weighted,8,0,100,0,20,10,5,1,100,20,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,4,1,0,0,2
190325182553,0,40,1,0,200,1,100,10,5000,0,10,Weighted,8,0,100,15,50,10,5,1,100,20,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,79,39,78,2,7
190325183223,0,40,1,0,200,1,100,10,5000,0,10,Weighted,8,0,100,15,0,10,5,1,100,20,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,71,14,69,2,6
190325183823,0,40,1,0,100,1,100,10,5000,0,10,Weighted,8,0,100,15,40,10,5,1,100,20,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,81,75,77,2,8
190326184736,0,40,1,0,100,1,100,10,5000,0,0,Weighted,8,0,100,15,40,10,5,1,100,20,1,1000,10,30,./+AF8AXwBf-Results,50,50,5,Sacrifice,6,10,0,10000,Evolife,9990,85,5,86,2,35
190326203208,0,40,1,0,200,1,100,10,5000,0,5,Weighted,8,0,100,5,20,10,5,1,100,20,1,1000,10,30,./+AF8AXwBf-Results,50,50,5,Sacrifice,6,10,0,10000,Evolife,9990,33,6,36,3,45
190326205846,0,40,1,0,0,1,100,10,5000,0,20,Weighted,8,0,100,15,40,10,5,1,100,20,1,1000,10,30,./+AF8AXwBf-Results,50,50,5,Sacrifice,6,10,0,10000,Evolife,9990,3,1,0,0,11
190325174903,0,40,1,0,0,1,100,10,5000,0,15,Weighted,8,0,100,10,40,10,5,1,100,20,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,4,1,0,0,3
190325175012,0,40,1,0,100,1,100,10,5000,0,15,Weighted,8,0,100,20,0,10,5,1,100,20,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,30,34,24,2,7
190325175857,0,40,1,0,200,1,100,10,5000,0,20,Weighted,8,0,100,5,50,10,5,1,100,20,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,26,16,38,3,9
190325180544,0,40,1,0,0,1,100,10,5000,0,20,Weighted,8,0,100,0,10,10,5,1,100,20,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,2,1,0,0,2
190325180752,0,40,1,0,200,1,100,10,5000,0,0,Weighted,8,0,100,10,0,10,5,1,100,20,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,77,2,79,2,7
