Date,Admiration,AgeAdult,AgeMax,BatchMode,DNAFill,DisplayPeriod,DumpStart,GeneCoding,GeneLength,GroupMinSize,MutationRate,NbCrossover,NbInteractions,NumberOfGroups,PopulationSize,ReproGainsThreshold,ReproductionRate,ResultDir,Rounds,SacrificeHeredity,SampleSize,ScenarioName,Selectivity,StartFromFile,TimeLimit,Title,LastStep,SelfSacrifice,NbHeroes
190322141243,20,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,25,100,Exogene,10,0,10000,Evolife,9990,0,11
190322141247,50,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,75,100,Exogene,10,0,10000,Evolife,9990,1,12
190322141251,100,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,75,100,Exogene,10,0,10000,Evolife,9990,1,12
190322141301,10,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,100,100,Exogene,10,0,10000,Evolife,9990,0,9
190322141302,50,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,25,100,Exogene,10,0,10000,Evolife,9990,1,11
190322141311,10,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,100,100,Exogene,10,0,10000,Evolife,9990,0,8
190322141314,20,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,75,100,Exogene,10,0,10000,Evolife,9990,0,10
190322141316,20,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,50,100,Exogene,10,0,10000,Evolife,9990,1,11
190322141318,50,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,0,100,Exogene,10,0,10000,Evolife,9990,0,4
190322141331,0,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,25,100,Exogene,10,0,10000,Evolife,9990,0,2
190322141335,10,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,75,100,Exogene,10,0,10000,Evolife,9990,0,8
190322141422,100,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,50,100,Exogene,10,0,10000,Evolife,9990,1,13
190322141558,10,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,25,100,Exogene,10,0,10000,Evolife,9990,0,9
190322141715,100,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,75,100,Exogene,10,0,10000,Evolife,9990,1,13
190322141741,50,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,100,100,Exogene,10,0,10000,Evolife,9990,0,9
190322141837,20,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,75,100,Exogene,10,0,10000,Evolife,9990,0,10
190322141920,10,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,50,100,Exogene,10,0,10000,Evolife,9990,0,9
190322142000,100,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,75,100,Exogene,10,0,10000,Evolife,9990,1,13
190322142005,5,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,0,100,Exogene,10,0,10000,Evolife,9990,0,4
190322142008,100,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,75,100,Exogene,10,0,10000,Evolife,9990,1,13
190322142017,5,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,25,100,Exogene,10,0,10000,Evolife,9990,0,5
190322142117,10,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,25,100,Exogene,10,0,10000,Evolife,9990,0,9
190322142205,50,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,0,100,Exogene,10,0,10000,Evolife,9990,0,4
190322142207,5,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,25,100,Exogene,10,0,10000,Evolife,9990,0,5
190322142211,0,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,25,100,Exogene,10,0,10000,Evolife,9990,0,2
190322142221,0,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,100,100,Exogene,10,0,10000,Evolife,9990,0,2
190322142244,20,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,50,100,Exogene,10,0,10000,Evolife,9990,1,10
190322142250,5,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,25,100,Exogene,10,0,10000,Evolife,9990,0,5
190322142407,100,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,75,100,Exogene,10,0,10000,Evolife,9990,1,16
190322142445,100,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,25,100,Exogene,10,0,10000,Evolife,9990,1,12
190322142547,0,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,75,100,Exogene,10,0,10000,Evolife,9990,0,2
190322142627,10,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,0,100,Exogene,10,0,10000,Evolife,9990,0,4
190322142647,20,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,25,100,Exogene,10,0,10000,Evolife,9990,0,11
190322142700,100,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,0,100,Exogene,10,0,10000,Evolife,9990,0,4
190322142724,20,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,25,100,Exogene,10,0,10000,Evolife,9990,0,10
190322142734,20,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,25,100,Exogene,10,0,10000,Evolife,9990,0,10
190322142832,50,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,75,100,Exogene,10,0,10000,Evolife,9990,1,13
190322142954,20,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,100,100,Exogene,10,0,10000,Evolife,9990,0,9
190322143022,20,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,100,100,Exogene,10,0,10000,Evolife,9990,0,9
190322143117,50,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,75,100,Exogene,10,0,10000,Evolife,9990,1,14
190322143432,50,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,75,100,Exogene,10,0,10000,Evolife,9990,1,13
190322143651,100,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,50,100,Exogene,10,0,10000,Evolife,9990,1,13
190322143710,5,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,0,100,Exogene,10,0,10000,Evolife,9990,0,4
190322143845,5,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,50,100,Exogene,10,0,10000,Evolife,9990,0,6
190322143859,20,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,0,100,Exogene,10,0,10000,Evolife,9990,0,5
190322143900,20,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,0,100,Exogene,10,0,10000,Evolife,9990,0,4
190322143926,100,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,75,100,Exogene,10,0,10000,Evolife,9990,1,13
190322144038,50,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,75,100,Exogene,10,0,10000,Evolife,9990,1,12
