Date,AgeAdult,AgeMax,BatchMode,DNAFill,DenunciationCost,DifferentialCosts,DisplayPeriod,DumpStart,EraseNetwork,FriendshipValue,GeneCoding,GeneLength,GroupMinSize,HonoringCost,JoiningBonus,Judas,MaxFriends,MaxOffer,MutationRate,NbCrossover,NbInteractions,NbTraitors,NumberOfGroups,PopulationSize,ReproGainsThreshold,ReproductionRate,ResultDir,Rounds,SacrificeHeredity,SampleSize,ScenarioName,SelectionPressure,Selectivity,StartFromFile,TimeLimit,Title,LastStep,Patriot,NonPatriot,Demand,SelfSacrifice,NbHeroes
190325214934,0,40,1,0,100,0,10,5000,0,10,Weighted,8,0,100,10,25,10,75,5,1,100,30,1,200,10,50,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,76,6,74,2,9
190326115517,0,40,1,0,100,0,10,5000,0,10,Weighted,8,0,100,10,25,10,75,5,1,100,30,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,75,5,74,1,5
190326122655,0,40,1,0,100,0,10,5000,0,10,Weighted,8,0,100,10,25,10,75,5,1,100,30,1,1000,10,15,./+AF8AXwBf-Results,50,50,5,Sacrifice,6,10,0,10000,Evolife,9990,76,5,75,1,20
190325220335,0,40,1,0,100,0,10,5000,0,10,Weighted,8,0,100,10,25,10,100,5,1,100,40,1,200,10,50,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,36,86,76,6,20
190325173758,0,40,1,0,100,0,10,5000,0,10,Weighted,8,0,100,10,25,10,25,5,1,100,40,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,26,24,25,1,4
190325180705,0,40,1,0,100,0,10,5000,0,10,Weighted,8,0,100,10,25,10,75,5,1,100,40,1,200,10,15,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,76,10,75,0,2
190325181313,0,40,1,0,100,0,10,5000,0,10,Weighted,8,0,100,10,25,10,75,5,1,100,40,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,76,7,74,1,4
190325184236,0,40,1,0,100,0,10,5000,0,10,Weighted,8,0,100,10,25,10,50,5,1,100,40,1,200,10,15,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,51,11,50,1,3
190325185205,0,40,1,0,100,0,10,5000,0,10,Weighted,8,0,100,10,25,10,25,5,1,100,40,1,200,10,50,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,26,24,25,2,7
190325191529,0,40,1,0,100,0,10,5000,0,10,Weighted,8,0,100,10,25,10,25,5,1,100,40,1,200,10,15,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,50,11,34,1,3
