Date,AgeAdult,AgeMax,BatchMode,DNAFill,DenunciationCost,DifferentialCosts,DishonestPremium,DisplayPeriod,DumpStart,EraseNetwork,FriendshipValue,GeneCoding,GeneLength,GroupMinSize,HonoringCost,JoiningBonus,Judas,MaxFriends,MutationRate,NbCrossover,NbInteractions,NbTraitors,NumberOfGroups,PopulationSize,ReproGainsThreshold,ReproductionRate,ResultDir,Rounds,SacrificeHeredity,SampleSize,ScenarioName,SelectionPressure,Selectivity,StartFromFile,TimeLimit,Title,LastStep,Patriot,NonPatriot,Demand,SelfSacrifice,NbHeroes
190326155113,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,50,1,1000,10,30,./+AF8AXwBf-Results,50,50,5,Sacrifice,6,10,0,10000,Evolife,9990,30,5,30,2,37
190326184926,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,50,1,1000,10,30,./+AF8AXwBf-Results,50,50,5,Sacrifice,6,10,0,10000,Evolife,9990,33,3,32,2,34
190326184932,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,50,1,1000,10,30,./+AF8AXwBf-Results,50,50,5,Sacrifice,6,10,0,10000,Evolife,9990,33,4,32,2,35
190326184936,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,50,1,1000,10,30,./+AF8AXwBf-Results,50,50,5,Sacrifice,6,10,0,10000,Evolife,9990,31,5,30,2,35
190326184943,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,50,1,1000,10,30,./+AF8AXwBf-Results,50,50,5,Sacrifice,6,10,0,10000,Evolife,9990,31,6,32,2,37
190326184953,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,50,1,1000,10,30,./+AF8AXwBf-Results,50,50,5,Sacrifice,6,10,0,10000,Evolife,9990,32,4,33,2,34
190326184955,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,50,1,1000,10,30,./+AF8AXwBf-Results,50,50,5,Sacrifice,6,10,0,10000,Evolife,9990,30,4,30,2,35
190326184959,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,50,1,1000,10,30,./+AF8AXwBf-Results,50,50,5,Sacrifice,6,10,0,10000,Evolife,9990,33,3,32,2,33
190326185001,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,50,1,1000,10,30,./+AF8AXwBf-Results,50,50,5,Sacrifice,6,10,0,10000,Evolife,9990,31,7,32,2,39
190326210218,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,50,1,1000,10,30,./+AF8AXwBf-Results,50,50,5,Sacrifice,6,10,0,10000,Evolife,9990,31,6,30,2,37
190325175119,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,33,7,32,2,6
190325175121,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,32,7,33,1,5
190325175123,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,33,6,32,2,6
190325175125,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,32,6,31,2,6
190325175127,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,38,4,35,2,6
190325175129,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,51,2,51,2,5
190325175131,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,32,7,34,2,6
190325175133,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,34,5,34,2,6
190325175135,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,32,5,31,2,6
190325175137,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,33,6,32,2,6
190325175323,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,52,3,51,2,6
190325175325,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,37,6,37,2,6
190325175327,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,51,2,50,2,6
190325175329,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,33,6,31,2,6
190325175331,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,35,5,35,2,6
190325175334,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,53,3,51,2,6
190325175336,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,53,2,51,2,6
190325175338,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,33,6,30,2,6
190325175340,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,33,4,32,2,6
190325175342,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,51,3,50,2,6
190325180056,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,32,6,31,2,6
190325180057,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,32,5,31,2,6
190325180100,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,30,5,30,2,6
190325180101,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,32,4,31,2,6
190325180105,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,32,5,32,1,5
190325180110,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,32,5,30,1,5
190325180111,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,52,2,50,2,6
190325180113,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,51,3,42,2,6
190325180316,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,51,3,37,2,6
190325180318,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,52,3,51,2,6
190325180319,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,50,4,41,2,6
190325180327,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,34,7,32,2,6
190325180330,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,52,3,50,2,7
190325180336,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,32,4,31,2,6
190325180338,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,32,5,31,2,6
