Date,Admiration,AgeMax,MutationRate,PopulationSize,ReproGainsThreshold,ReproductionRate,SacrificeHeredity,Selectivity,TimeLimit,SelfSacrifice,NbHeroes
190327033146,50,40,5,1000,10,15,50,10,10000,2,26
190327033146,50,40,5,1000,10,15,50,10,10000,2,26
190326121100,50,40,5,1000,10,15,75,10,10000,2,26
190326121100,50,40,5,1000,10,15,75,10,10000,2,26
190326155213,50,40,5,1000,10,15,100,10,10000,1,18
190326155225,50,40,5,1000,10,15,100,10,10000,1,17
190326184807,50,40,5,1000,10,15,100,10,10000,1,19
190326155213,50,40,5,1000,10,15,100,10,10000,1,18
190326155225,50,40,5,1000,10,15,100,10,10000,1,17
190326184807,50,40,5,1000,10,15,100,10,10000,1,19
190326195127,100,40,5,1000,10,15,50,10,10000,2,27
190326195127,100,40,5,1000,10,15,50,10,10000,2,27
190322144145,0,40,5,1000,10,5,0,10,10000,0,2
190322141238,0,40,5,1000,10,5,0,10,10000,0,2
190322141126,0,40,5,1000,10,5,25,10,10000,0,2
190322141331,0,40,5,1000,10,5,25,10,10000,0,2
190322142211,0,40,5,1000,10,5,25,10,10000,0,2
190322140730,0,40,5,1000,10,5,50,10,10000,0,2
190322140750,0,40,5,1000,10,5,50,10,10000,0,2
190322140658,0,40,5,1000,10,5,75,10,10000,0,2
190322140712,0,40,5,1000,10,5,75,10,10000,0,2
190322140957,0,40,5,1000,10,5,75,10,10000,0,2
190322142547,0,40,5,1000,10,5,75,10,10000,0,2
190322140758,0,40,5,1000,10,5,100,10,10000,0,2
190322140838,0,40,5,1000,10,5,100,10,10000,0,2
190322142221,0,40,5,1000,10,5,100,10,10000,0,2
190322140720,5,40,5,1000,10,5,0,10,10000,0,4
190322140748,5,40,5,1000,10,5,0,10,10000,0,4
190322142005,5,40,5,1000,10,5,0,10,10000,0,4
190322143710,5,40,5,1000,10,5,0,10,10000,0,4
190322140736,5,40,5,1000,10,5,25,10,10000,0,6
