Date;AgeAdult;AgeMax;BatchMode;DNAFill;DenunciationCost;DifferentialCosts;DisplayPeriod;DumpStart;EraseNetwork;FriendshipValue;GeneCoding;GeneLength;GroupMinSize;HonoringCost;JoiningBonus;Judas;MaxFriends;MaxOffer;MutationRate;NbCrossover;NbInteractions;NbTraitors;NumberOfGroups;PopulationSize;ReproGainsThreshold;ReproductionRate;ResultDir;Rounds;SacrificeHeredity;SampleSize;ScenarioName;SelectionPressure;Selectivity;StartFromFile;TimeLimit;Title;LastStep;Patriot;NonPatriot;Demand;SelfSacrifice;NbHeroes
190325180553;0;40;1;0;200;0;10;5000;0;20;Weighted;8;0;100;15;50;10;50;5;1;100;80;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;51;17;50;1;5
190325180908;0;40;1;0;0;0;10;5000;0;10;Weighted;8;0;100;20;30;10;50;5;1;100;30;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;4;2;0;0;2
190325180958;0;40;1;0;100;0;10;5000;0;20;Weighted;8;0;100;10;0;10;50;5;1;100;100;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;51;12;50;1;5
190325181020;0;40;1;0;0;0;10;5000;0;15;Weighted;8;0;100;0;40;10;50;5;1;100;50;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;8;2;0;1;3
190325181224;0;40;1;0;200;0;10;5000;0;0;Weighted;8;0;100;5;10;10;50;5;1;100;10;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;2;1;68;0;2
190325181240;0;40;1;0;100;0;10;5000;0;5;Weighted;8;0;100;15;20;10;50;5;1;100;60;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;51;21;50;1;5
190325181359;0;40;1;0;200;0;10;5000;0;20;Weighted;8;0;100;10;20;10;50;5;1;100;20;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;50;6;50;1;5
190325181438;0;40;1;0;100;0;10;5000;0;5;Weighted;8;0;100;15;50;10;50;5;1;100;40;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;51;43;50;2;6
190325181506;0;40;1;0;0;0;10;5000;0;15;Weighted;8;0;100;0;10;10;50;5;1;100;100;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;17;6;5;1;4
190325181528;0;40;1;0;100;0;10;5000;0;10;Weighted;8;0;100;5;0;10;50;5;1;100;20;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;14;4;48;1;4
